# u v d x y z 
324.528618 276.483493 52.828777 7.258008 -0.266344 8.301961
324.495583 264.079242 52.458668 7.253138 -0.636452 9.250837
324.739418 255.886545 51.684887 7.266172 -1.410234 9.882367
324.903793 248.559580 50.944584 7.273124 -2.150535 10.432410
325.299187 227.403259 49.987022 7.294650 -3.108096 11.954893
325.475159 218.805227 49.349846 7.302233 -3.745275 12.549585
321.350594 206.819143 48.597706 7.010000 -4.497415 13.358950
330.725899 207.363424 48.555138 7.660232 -4.539983 13.319178
326.422119 194.493542 49.333401 7.368842 -3.761718 14.262486
331.714172 233.991051 50.283596 7.757707 -2.811525 11.487004
346.504860 232.177877 50.428967 8.825681 -2.666152 11.618876
351.767921 260.345807 51.820580 9.267995 -1.274541 9.549171
349.704781 296.542568 50.911137 9.076671 -2.183982 6.943007
346.474953 299.163537 50.664577 8.832438 -2.430542 6.773222
343.238144 302.620454 50.459572 8.591358 -2.635548 6.541358
341.400146 305.820608 50.315735 8.454469 -2.779384 6.324199
339.495544 308.124118 50.155193 8.313097 -2.939927 6.174247
348.091812 307.771368 50.396900 8.938720 -2.698221 6.176120
348.186951 312.994967 50.290771 8.941297 -2.804347 5.811112
348.066254 316.278291 50.234364 8.930364 -2.860755 5.581371
348.095665 319.979267 50.189926 8.930692 -2.905193 5.320854
349.894943 308.938637 50.569588 9.075913 -2.525533 6.075076
350.004616 313.615780 50.460407 9.079157 -2.634713 5.748671
349.664536 317.962518 50.400146 9.052089 -2.694972 5.442041
349.754448 322.147522 50.320801 9.055189 -2.774320 5.150032
350.947914 308.887997 50.743786 9.159685 -2.351333 6.061591
351.225243 312.922983 50.676952 9.176805 -2.418166 5.776052
350.820274 317.471538 50.615425 9.144780 -2.479694 5.453567
350.840073 321.113963 50.556458 9.143614 -2.538661 5.197024
351.411476 308.134060 50.962135 9.203086 -2.132986 6.094992
351.544151 312.625136 50.890755 9.209528 -2.204365 5.775433
351.166153 315.544538 50.861084 9.180727 -2.234034 5.566392
351.395226 318.452783 50.818531 9.195461 -2.276587 5.359852
318.526211 233.757706 50.329792 6.810270 -2.765329 11.504178
303.858910 231.040792 50.544941 5.750734 -2.550179 11.702277
299.804764 255.813217 52.286137 5.407762 -0.808983 9.874199
300.651569 292.017546 51.552288 5.491298 -1.542834 7.224468
300.014648 303.161659 51.643509 5.441787 -1.451612 6.395516
299.809361 306.998191 51.599373 5.427915 -1.495747 6.116695
299.780769 309.765015 51.566002 5.426771 -1.529118 5.916069
299.288559 312.795081 51.537601 5.391352 -1.557520 5.695810
299.658489 303.957310 51.432339 5.421647 -1.662781 6.356111
299.074821 307.658186 51.383102 5.380234 -1.712018 6.088948
299.082642 311.910324 51.320686 5.382673 -1.774434 5.783234
298.989506 315.780659 51.254917 5.377819 -1.840201 5.506600
299.860287 304.081507 51.238792 5.442043 -1.856328 6.364703
299.311466 308.340082 51.154419 5.404364 -1.940701 6.061220
299.299946 313.024979 51.080540 5.405707 -2.014579 5.726565
299.010715 317.063913 50.998749 5.387053 -2.096371 5.440840
300.764446 303.179183 51.027340 5.514036 -2.067779 6.449837
300.318718 308.425541 50.932449 5.484212 -2.162672 6.076673
300.238800 311.733398 50.873882 5.480050 -2.221238 5.841993
300.012836 315.363107 50.821716 5.465117 -2.273404 5.583813
303.252316 294.529781 51.240875 5.690283 -1.854245 7.063710
305.841484 298.020072 50.966316 5.885368 -2.128805 6.830975
307.152348 301.246805 50.784042 5.984156 -2.311076 6.611987
308.662453 303.943548 50.601887 6.096662 -2.493232 6.432982
336.667290 283.386097 53.327972 8.185997 0.232854 7.750084
336.168709 327.977128 50.141434 8.074410 -2.953685 4.753503
331.947136 380.359848 51.632454 7.797463 -1.462664 0.702326
334.827805 395.210917 50.433556 7.984547 -2.661563 -0.127267
339.984016 398.485129 49.492184 8.329166 -3.602934 -0.150034
312.300720 283.886333 53.262711 6.330400 0.167593 7.716066
320.031853 327.216010 49.913490 6.918508 -3.181631 4.836423
317.523212 379.948075 51.356300 6.734523 -1.738820 0.787909
317.285995 394.313085 50.156147 6.721773 -2.938973 -0.001426
314.323063 397.975988 49.160137 6.517551 -3.934983 -0.039099
